Player,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
Yann Sommer,46,0.97,180,135,76.7,29,11,7,20,42.6
Josep Martinez,7,0.7,33,26,78.8,7,2,1,6,60.0
